,도매GB,경북농장,도매JI,도매BT
2025. 5. 26,610,6,17,11
2025. 5. 27,167,11,6,5
2025. 5. 28,176,0,8,5
2025. 5. 29,169,1,17,7
2025. 5. 30,173,2,5,0
2025. 6. 4,1254,14,26,19
2025. 6. 8,505,0,0,0
2025. 6. 9,1431,1,104,5
2025. 6. 10,320,15,24,0
2025. 6. 11,936,6,37,1
2025. 6. 12,560,4,58,2
2025. 6. 13,345,1,10,3
2025. 6. 16,1017,0,2,0
2025. 6. 17,492,0,0,0
2025. 6. 18,430,0,1,0
2025. 6. 19,521,1,1,0
2025. 6. 20,385,1,0,0
2025. 6. 23,1033,3,0,0
2025. 6. 24,801,1,0,0
2025. 6. 25,678,2,0,0
2025. 6. 26,441,1,0,0
2025. 6. 27,268,0,0,0
2025. 6. 30,1061,0,0,0
2025. 7. 1,885,0,0,0
2025. 7. 2,412,0,0,0
2025. 7. 3,318,0,0,0
2025. 7. 4,136,0,0,0
2025. 7. 7,417,0,0,0
2025. 7. 8,113,0,0,0
2025. 7. 9,192,0,0,0
2025. 7. 10,192,0,0,0
2025. 7. 11,246,0,0,0
2025. 7. 14,946,0,0,0